Source,Target,Weight,Type
pseudo_vergil.aetna,pseudo_vergil.appendix_vergiliana_combined,5,undirected
pseudo_vergil.aetna,vergil.georgics.part.2,1,undirected
pseudo_vergil.aetna,vergil.georgics.part.4,2,undirected
pseudo_vergil.appendix_vergiliana_combined,pseudo_vergil.aetna,5,undirected
pseudo_vergil.appendix_vergiliana_combined,pseudo_vergil.catalepton,3,undirected
pseudo_vergil.appendix_vergiliana_combined,pseudo_vergil.ciris,6,undirected
pseudo_vergil.appendix_vergiliana_combined,pseudo_vergil.culex,3,undirected
pseudo_vergil.appendix_vergiliana_combined,pseudo_vergil.dirae,2,undirected
pseudo_vergil.appendix_vergiliana_combined,pseudo_vergil.elegiae_in_maecenatem,3,undirected
pseudo_vergil.appendix_vergiliana_combined,pseudo_vergil.lydia,2,undirected
pseudo_vergil.appendix_vergiliana_combined,vergil.aeneid.part.1,1,undirected
pseudo_vergil.appendix_vergiliana_combined,vergil.eclogues,3,undirected
pseudo_vergil.catalepton,pseudo_vergil.appendix_vergiliana_combined,3,undirected
pseudo_vergil.catalepton,pseudo_vergil.ciris,1,undirected
pseudo_vergil.catalepton,pseudo_vergil.dirae,1,undirected
pseudo_vergil.catalepton,pseudo_vergil.priapea,3,undirected
pseudo_vergil.catalepton,vergil.eclogues,2,undirected
pseudo_vergil.ciris,pseudo_vergil.appendix_vergiliana_combined,6,undirected
pseudo_vergil.ciris,pseudo_vergil.catalepton,1,undirected
pseudo_vergil.ciris,pseudo_vergil.lydia,3,undirected
pseudo_vergil.ciris,vergil.aeneid.part.2,1,undirected
pseudo_vergil.ciris,vergil.aeneid.part.4,2,undirected
pseudo_vergil.ciris,vergil.eclogues,2,undirected
pseudo_vergil.copa,pseudo_vergil.culex,2,undirected
pseudo_vergil.copa,pseudo_vergil.moretum,3,undirected
pseudo_vergil.copa,pseudo_vergil.priapea,1,undirected
pseudo_vergil.copa,vergil.aeneid.part.3,1,undirected
pseudo_vergil.culex,pseudo_vergil.appendix_vergiliana_combined,3,undirected
pseudo_vergil.culex,pseudo_vergil.copa,2,undirected
pseudo_vergil.culex,pseudo_vergil.moretum,3,undirected
pseudo_vergil.culex,pseudo_vergil.priapea,2,undirected
pseudo_vergil.culex,vergil.aeneid.part.1,2,undirected
pseudo_vergil.culex,vergil.aeneid.part.2,1,undirected
pseudo_vergil.dirae,pseudo_vergil.appendix_vergiliana_combined,2,undirected
pseudo_vergil.dirae,pseudo_vergil.catalepton,1,undirected
pseudo_vergil.dirae,vergil.aeneid.part.3,3,undirected
pseudo_vergil.elegiae_in_maecenatem,pseudo_vergil.appendix_vergiliana_combined,3,undirected
pseudo_vergil.elegiae_in_maecenatem,vergil.aeneid.part.4,1,undirected
pseudo_vergil.elegiae_in_maecenatem,vergil.eclogues,2,undirected
pseudo_vergil.lydia,pseudo_vergil.appendix_vergiliana_combined,2,undirected
pseudo_vergil.lydia,pseudo_vergil.ciris,3,undirected
pseudo_vergil.lydia,vergil.georgics.part.1,1,undirected
pseudo_vergil.moretum,pseudo_vergil.copa,3,undirected
pseudo_vergil.moretum,pseudo_vergil.culex,3,undirected
pseudo_vergil.moretum,vergil.aeneid.part.1,2,undirected
pseudo_vergil.moretum,vergil.georgics.part.3,1,undirected
pseudo_vergil.priapea,pseudo_vergil.catalepton,3,undirected
pseudo_vergil.priapea,pseudo_vergil.copa,1,undirected
pseudo_vergil.priapea,pseudo_vergil.culex,2,undirected
vergil.aeneid.part.1,pseudo_vergil.appendix_vergiliana_combined,1,undirected
vergil.aeneid.part.1,pseudo_vergil.culex,2,undirected
vergil.aeneid.part.1,pseudo_vergil.moretum,2,undirected
vergil.aeneid.part.1,vergil.aeneid.part.2,6,undirected
vergil.aeneid.part.1,vergil.aeneid.part.3,4,undirected
vergil.aeneid.part.1,vergil.aeneid.part.4,5,undirected
vergil.aeneid.part.1,vergil.georgics.part.1,2,undirected
vergil.aeneid.part.1,vergil.georgics.part.2,1,undirected
vergil.aeneid.part.1,vergil.georgics.part.3,1,undirected
vergil.aeneid.part.1,vergil.georgics.part.4,3,undirected
vergil.aeneid.part.2,pseudo_vergil.ciris,1,undirected
vergil.aeneid.part.2,pseudo_vergil.culex,1,undirected
vergil.aeneid.part.2,vergil.aeneid.part.1,6,undirected
vergil.aeneid.part.2,vergil.aeneid.part.3,3,undirected
vergil.aeneid.part.2,vergil.aeneid.part.4,4,undirected
vergil.aeneid.part.2,vergil.georgics.part.1,1,undirected
vergil.aeneid.part.2,vergil.georgics.part.4,2,undirected
vergil.aeneid.part.3,pseudo_vergil.copa,1,undirected
vergil.aeneid.part.3,pseudo_vergil.dirae,3,undirected
vergil.aeneid.part.3,vergil.aeneid.part.1,4,undirected
vergil.aeneid.part.3,vergil.aeneid.part.2,3,undirected
vergil.aeneid.part.3,vergil.aeneid.part.4,1,undirected
vergil.aeneid.part.4,pseudo_vergil.ciris,2,undirected
vergil.aeneid.part.4,pseudo_vergil.elegiae_in_maecenatem,1,undirected
vergil.aeneid.part.4,vergil.aeneid.part.1,5,undirected
vergil.aeneid.part.4,vergil.aeneid.part.2,4,undirected
vergil.aeneid.part.4,vergil.aeneid.part.3,1,undirected
vergil.aeneid.part.4,vergil.eclogues,1,undirected
vergil.aeneid.part.4,vergil.georgics.part.2,4,undirected
vergil.eclogues,pseudo_vergil.appendix_vergiliana_combined,3,undirected
vergil.eclogues,pseudo_vergil.catalepton,2,undirected
vergil.eclogues,pseudo_vergil.ciris,2,undirected
vergil.eclogues,pseudo_vergil.elegiae_in_maecenatem,2,undirected
vergil.eclogues,vergil.aeneid.part.4,1,undirected
vergil.georgics.part.1,pseudo_vergil.lydia,1,undirected
vergil.georgics.part.1,vergil.aeneid.part.1,2,undirected
vergil.georgics.part.1,vergil.aeneid.part.2,1,undirected
vergil.georgics.part.1,vergil.georgics.part.2,5,undirected
vergil.georgics.part.1,vergil.georgics.part.3,2,undirected
vergil.georgics.part.2,pseudo_vergil.aetna,1,undirected
vergil.georgics.part.2,vergil.aeneid.part.1,1,undirected
vergil.georgics.part.2,vergil.aeneid.part.4,4,undirected
vergil.georgics.part.2,vergil.georgics.part.1,5,undirected
vergil.georgics.part.3,pseudo_vergil.moretum,1,undirected
vergil.georgics.part.3,vergil.aeneid.part.1,1,undirected
vergil.georgics.part.3,vergil.georgics.part.1,2,undirected
vergil.georgics.part.3,vergil.georgics.part.4,4,undirected
vergil.georgics.part.4,pseudo_vergil.aetna,2,undirected
vergil.georgics.part.4,vergil.aeneid.part.1,3,undirected
vergil.georgics.part.4,vergil.aeneid.part.2,2,undirected
vergil.georgics.part.4,vergil.georgics.part.3,4,undirected
